Company Name,Tagline,% - DS work,People Count,Location,URL
Beyond Analysis,Putting data to work,50% BI & Big Data Consulting & SI,10 - 49,"Sydney, Australia",http://www.beyondanalysis.co.uk
Covalense,IT Services in both MSFT & Open Source,20% BI & Big Data Consulting & SI,250 - 999,"Sydney, Australia",http://www.covalense.com
Analytics8,Data and Analytics. It's what we do.,100% BI & Big Data Consulting & SI,50 - 249,"Sydney, Australia",http://us.analytics8.com/
Altis Consulting,"Connecting with courage, heart and insight.",70% BI & Big Data Consulting & SI,50 - 249,"Sydney, Australia",http://altis.com.au/
Contexti,Creating Value from Data,100% BI & Big Data Consulting & SI,10 - 49,"Sydney, Australia",http://contexti.com/
Internetrix,Experts In All Things Data.,60% BI & Big Data Consulting & SI,10 - 49,"Wollongong, Australia",http://www.internetrix.com.au
Analytics8 Australia,Do More With Your Data.,50% BI & Big Data Consulting & SI,50 - 249,"The Rocks, Sydney, Australia",https://analytics8.com.au/
IBT (Integrated Business Technologies),Operational Intelligence Without The Hassle.,100% BI & Big Data Consulting & SI,10 - 49,"Sydney, Australia",https://www.ibt.com.au
Pernix,Smarter With Data.,100% BI & Big Data Consulting & SI,10 - 49,"Adelaide, Australia",http://pernix.com.au/
Diligent Global,Consulting with Commitment,50% BI & Big Data Consulting & SI,250 - 999,Australia,http://diligentglobal.com
InfoCentric,Insight On Demand.,50% BI & Big Data Consulting & SI,50 - 249,"Melbourne, Australia",http://www.infocentric.com.au/
EngineRoom.ioÂ®,The BigData Company,60% BI & Big Data Consulting & SI,2 - 9,"Alexandria, Australia",http://www.engineroom.io
Clade Solutions,Consulting | Business Apps | Data Analytics & BI,50% BI & Big Data Consulting & SI,10 - 49,"Sydney, Australia",http://www.clade.com.au/
Q3 Technologies,Enabling Digital Business!,25% BI & Big Data Consulting & SI,250 - 999,"North Sydney, Australia",http://q3tech.com
uData,Data science and AI experts,50% BI & Big Data Consulting & SI,10 - 49,"Sydney, Australia",https://udata.tech/
CLPS,Global IT Services Provider,20% BI & Big Data Consulting & SI,"1,000 - 9,999","Melbourne, Australia",http://www.clpsglobal.com
Kraken Data,Analytics and Conversion Rate Optimisation Experts,50% BI & Big Data Consulting & SI,2 - 9,"Carlton, Australia",https://www.krakendata.com
White Box Analytics Pty Limited,Identifying the possibilities in your data,50% BI & Big Data Consulting & SI,2 - 9,"Sydney, Australia",http://www.whiteboxanalytics.com.au
Pythian,Love your data,20% BI & Big Data Consulting & SI,250 - 999,"Sydney, Australia",https://pythian.com/
Cuelogic Technologies,Software Driven Thinking,20% BI & Big Data Consulting & SI,250 - 999,"Melbourne, Australia",https://www.cuelogic.com
Unico,Driving the future of business through technology.,20% BI & Big Data Consulting & SI,250 - 999,"Melbourne, Australia",https://www.unico.com.au/
BCS Technology International Pty Ltd,Australia IT Company,20% BI & Big Data Consulting & SI,250 - 999,"Sydney, Australia",https://www.bcstechnology.com.au
DRVR,DRVR is a the connected mobility provider for Asia,30% BI & Big Data Consulting & SI,10 - 49,"Melbourne, Australia",http://www.drvr.co
Salt,"The right role, person and service",15% BI & Big Data Consulting & SI,250 - 999,"Sydney, Australia",https://www.welovesalt.com/
Futurism Technologies,Your Digital Transformation Journey Partner,15% BI & Big Data Consulting & SI,50 - 249,"Sydney, Australia",https://www.futurismtechnologies.com/
Digital Village,The Digital Specialist Network,25% BI & Big Data Consulting & SI,2 - 9,"Sydney, Australia",https://digitalvillage.network/
Zuni,Australia Digital Marketing Agency,20% BI & Big Data Consulting & SI,10 - 49,"Stanmore, Australia",https://zuni.com.au/
BMP Technologies,IT Staffing | Software Development | Training,20% BI & Big Data Consulting & SI,10 - 49,"Sydney, Australia",https://www.bmptechnologies.com.au/
Dynamics Square,"Microsoft Dynamics 365 CRM, NAV, and AX Solutions",15% BI & Big Data Consulting & SI,50 - 249,"Parramatta, Australia",http://www.dynamicssquare.com.au/
Tzu and Co.,Digital Strategy & Management Agency,20% BI & Big Data Consulting & SI,2 - 9,"Sydney, Australia",http://tzuand.co/
Total Telco Group,Telecommunications Company in Sydney.,20% BI & Big Data Consulting & SI,2 - 9,"St Roseville, Australia",https://totaltelco.com.au/
I.T. how to,Hardware / Software / Anywhere.,20% BI & Big Data Consulting & SI,2 - 9,"Melbourne, Australia",https://www.ithow2.com.au/
HashCash Consultants,Global Blockchain Company,10% BI & Big Data Consulting & SI,50 - 249,"Melbourne, Australia",https://www.hashcashconsultants.com
Perfekt,Connecting Business & Technology.,10% BI & Big Data Consulting & SI,10 - 49,"Caulfield South, Australia",https://www.perfekt.com.au/
Software Co,Software Development Experts,10% BI & Big Data Consulting & SI,10 - 49,"NORTH SYDNEY, Australia",http://www.softwareco.com.au
Aussiedev Consulting,Your Trusted IT Partner,10% BI & Big Data Consulting & SI,2 - 9,"Melbourne, Australia",http://aussiedev.com.au/
iShare Solution,Software development with iShare IT services,10% BI & Big Data Consulting & SI,2 - 9,"Sydney, Australia",https://isharesolution.com.au/
